item,cond,item_type,preamble_text,preamble_tts,preamble_audio,option_left,option_right,correct_key,expected,notes
1,crit_01_ax_acts_s2_t2,critical_2x2,"After rehearsal, they reviewed the acts from last night.","After rehearsal, they reviewed the aek<break time=""95ms""/>s from last night.",audio/e2_crit_p01_c4.mp3,They referred to a chopping tool.,They referred to deeds or performances.,NA,s2_t2,critical 2x2 sound-by-text
2,crit_02_prince_prints_s1_t1,critical_2x2,"At the parade, they pointed to the prince on the balcony.","At the parade, they pointed to the prin<break time=""25ms""/>s on the balcony.",audio/e2_crit_p02_c1.mp3,They referred to a royal person.,They referred to photos or printed marks.,NA,s1_t1,critical 2x2 sound-by-text
3,crit_03_tense_tents_s1_t2,critical_2x2,"At the campsite, they checked the tense before sunset.","At the campsite, they checked the ten<break time=""25ms""/>s before sunset.",audio/e2_crit_p03_c2.mp3,They referred to a grammar or mood form.,They referred to canvas shelters.,NA,s1_t2,critical 2x2 sound-by-text
4,crit_04_presence_presents_s2_t1,critical_2x2,"At the memorial, everyone noticed her presents in the front row.","At the memorial, everyone noticed her prezen<break time=""90ms""/>s in the front row.",audio/e2_crit_p04_c3.mp3,They referred to being there.,They referred to gifts.,NA,s2_t1,critical 2x2 sound-by-text
5,crit_05_patience_patients_s2_t2,critical_2x2,"At the clinic, the nurse called the patients one by one.","At the clinic, the nurse called the pay-shen<break time=""90ms""/>s one by one.",audio/e2_crit_p05_c4.mp3,They referred to the ability to wait.,They referred to people under medical care.,NA,s2_t2,critical 2x2 sound-by-text
6,crit_06_sense_cents_s1_t1,critical_2x2,"In the debate, the plan made sense to everyone.","In the debate, the plan made sen<break time=""25ms""/>s to everyone.",audio/e2_crit_p06_c1.mp3,They referred to logical meaning.,They referred to money units.,NA,s1_t1,critical 2x2 sound-by-text
7,crit_07_dense_dents_s1_t2,critical_2x2,"At the garage, they examined the dense on the door.","At the garage, they examined the den<break time=""25ms""/>s on the door.",audio/e2_crit_p07_c2.mp3,They referred to tightly packed material.,They referred to surface depressions.,NA,s1_t2,critical 2x2 sound-by-text
8,crit_08_mince_mints_s2_t1,critical_2x2,"In the kitchen, the chef seasoned the mints for dinner.","In the kitchen, the chef seasoned the min<break time=""90ms""/>s for dinner.",audio/e2_crit_p08_c3.mp3,They referred to chopped meat.,They referred to candies.,NA,s2_t1,critical 2x2 sound-by-text
9,crit_09_greatape_graytape_s2_t2,critical_2x2,"In the workshop, the guide photographed the gray tape on the box.","In the workshop, the guide photographed the gray<break time=""35ms""/>tape on the box.",audio/e2_crit_p09_c4.mp3,They referred to a large primate.,They referred to gray adhesive tape.,NA,s2_t2,critical 2x2 sound-by-text
10,crit_10_nitrate_nightrate_s1_t1,critical_2x2,"In chemistry, they compared the nitrate in two solutions.","In chemistry, they compared the nigh<break time=""35ms""/>trate in two solutions.",audio/e2_crit_p10_c1.mp3,They referred to a chemical compound.,They referred to an evening price.,NA,s1_t1,critical 2x2 sound-by-text
11,crit_11_aname_anaim_s1_t2,critical_2x2,"In the plan, the team had to choose a name for the product.","In the plan, the team had to choose a<break time=""25ms""/>name for the product.",audio/e2_crit_p11_c2.mp3,They referred to a title or label.,They referred to a goal.,NA,s1_t2,critical 2x2 sound-by-text
12,crit_12_anocean_anotion_s2_t1,critical_2x2,"From the cliff, they looked out at a notion for hours.","From the cliff, they looked out at a<break time=""25ms""/>notion for hours.",audio/e2_crit_p12_c3.mp3,They referred to a large sea.,They referred to an idea.,NA,s2_t1,critical 2x2 sound-by-text
13,crit_13_aniceman_aniceman_s2_t2,critical_2x2,"In summer, everyone waited for an ice man each morning.","In summer, everyone waited for an<break time=""25ms""/>ice man each morning.",audio/e2_crit_p13_c4.mp3,They referred to a pleasant man.,They referred to an ice seller.,NA,s2_t2,critical 2x2 sound-by-text
14,crit_14_plumpie_plumpeye_s1_t1,critical_2x2,"At the fair, she tasted plum pie with whipped cream.","At the fair, she tasted plum<break time=""25ms""/>pie with whipped cream.",audio/e2_crit_p14_c1.mp3,They referred to a fruit pie.,They referred to a swollen eye.,NA,s1_t1,critical 2x2 sound-by-text
15,crit_15_peacetalks_peastalks_s1_t2,critical_2x2,"In the garden, they trimmed peace talks all week.","In the garden, they trimmed peace<break time=""25ms""/>talks all week.",audio/e2_crit_p15_c2.mp3,They referred to diplomatic discussions.,They referred to plant stems.,NA,s1_t2,critical 2x2 sound-by-text
16,crit_16_gradea_grayday_s2_t1,critical_2x2,"In the report, the inspector marked it gray day.","In the report, the inspector marked it gray<break time=""25ms""/>day.",audio/e2_crit_p16_c3.mp3,They referred to top quality.,They referred to overcast weather.,NA,s2_t1,critical 2x2 sound-by-text
17,crit_17_graytrain_greatrain_s2_t2,critical_2x2,"From the bridge, they watched great rain flood the road.","From the bridge, they watched great<break time=""25ms""/>rain flood the road.",audio/e2_crit_p17_c4.mp3,They referred to a gray locomotive.,They referred to heavy rain.,NA,s2_t2,critical 2x2 sound-by-text
18,crit_18_illearn_ilearn_s1_t1,critical_2x2,"At work, she said I'll earn more next year.","At work, she said I'll<break time=""25ms""/>earn more next year.",audio/e2_crit_p18_c1.mp3,They referred to earning money.,They referred to gaining knowledge.,NA,s1_t1,critical 2x2 sound-by-text
19,crit_19_keepsticking_keepsticking_s1_t2,critical_2x2,"On the wall, that old clock keep sticking all night.","On the wall, that old clock keep<break time=""25ms""/>sticking all night.",audio/e2_crit_p19_c2.mp3,They referred to continuing to stick.,They referred to continuing to tick.,NA,s1_t2,critical 2x2 sound-by-text
20,crit_20_icecream_iscream_s2_t1,critical_2x2,"After dinner, the kids asked for I scream again.","After dinner, the kids asked for I<break time=""25ms""/>scream again.",audio/e2_crit_p20_c3.mp3,They referred to frozen dessert.,They referred to shouting loudly.,NA,s2_t1,critical 2x2 sound-by-text
21,fill_01_match,filler_match,"For breakfast, she spread butter on warm toast.","For breakfast, she spread butter on warm toast.",audio/e2_fill_01_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
22,fill_01_mismatch,filler_mismatch,"For breakfast, she spread butter on warm clouds.","For breakfast, she spread butter on warm clouds.",audio/e2_fill_01_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
23,fill_02_match,filler_match,"At the beach, they built a sand castle.","At the beach, they built a sand castle.",audio/e2_fill_02_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
24,fill_02_mismatch,filler_mismatch,"At the beach, they built a sand laptop.","At the beach, they built a sand laptop.",audio/e2_fill_02_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
25,fill_03_match,filler_match,"In winter, he wore a thick coat.","In winter, he wore a thick coat.",audio/e2_fill_03_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
26,fill_03_mismatch,filler_mismatch,"In winter, he wore a thick spoon.","In winter, he wore a thick spoon.",audio/e2_fill_03_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
27,fill_04_match,filler_match,"After dinner, we washed the dirty plates.","After dinner, we washed the dirty plates.",audio/e2_fill_04_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
28,fill_04_mismatch,filler_mismatch,"After dinner, we washed the dirty thunder.","After dinner, we washed the dirty thunder.",audio/e2_fill_04_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
29,fill_05_match,filler_match,"In class, the teacher wrote on the board.","In class, the teacher wrote on the board.",audio/e2_fill_05_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
30,fill_05_mismatch,filler_mismatch,"In class, the teacher wrote on the bicycle.","In class, the teacher wrote on the bicycle.",audio/e2_fill_05_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
31,fill_06_match,filler_match,"At night, the baby slept in the crib.","At night, the baby slept in the crib.",audio/e2_fill_06_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
32,fill_06_mismatch,filler_mismatch,"At night, the baby slept in the printer.","At night, the baby slept in the printer.",audio/e2_fill_06_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
33,fill_07_match,filler_match,"During lunch, she drank cold water.","During lunch, she drank cold water.",audio/e2_fill_07_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
34,fill_07_mismatch,filler_mismatch,"During lunch, she drank cold paper.","During lunch, she drank cold paper.",audio/e2_fill_07_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
35,fill_08_match,filler_match,"On the road, they fixed the flat tire.","On the road, they fixed the flat tire.",audio/e2_fill_08_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
36,fill_08_mismatch,filler_mismatch,"On the road, they fixed the flat rainbow.","On the road, they fixed the flat rainbow.",audio/e2_fill_08_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
37,fill_09_match,filler_match,"In the garden, we planted tomato seeds.","In the garden, we planted tomato seeds.",audio/e2_fill_09_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
38,fill_09_mismatch,filler_mismatch,"In the garden, we planted tomato keyboards.","In the garden, we planted tomato keyboards.",audio/e2_fill_09_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
39,fill_10_match,filler_match,"At the station, he missed the last train.","At the station, he missed the last train.",audio/e2_fill_10_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
40,fill_10_mismatch,filler_mismatch,"At the station, he missed the last volcano.","At the station, he missed the last volcano.",audio/e2_fill_10_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
41,fill_11_match,filler_match,"In the office, she opened her laptop.","In the office, she opened her laptop.",audio/e2_fill_11_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
42,fill_11_mismatch,filler_mismatch,"In the office, she opened her waterfall.","In the office, she opened her waterfall.",audio/e2_fill_11_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
43,fill_12_match,filler_match,"After rain, the street looked very wet.","After rain, the street looked very wet.",audio/e2_fill_12_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
44,fill_12_mismatch,filler_mismatch,"After rain, the street looked very violin.","After rain, the street looked very violin.",audio/e2_fill_12_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
45,fill_13_match,filler_match,"For dessert, they served chocolate cake.","For dessert, they served chocolate cake.",audio/e2_fill_13_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
46,fill_13_mismatch,filler_mismatch,"For dessert, they served chocolate screwdriver.","For dessert, they served chocolate screwdriver.",audio/e2_fill_13_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
47,fill_14_match,filler_match,"In the movie, the hero saved the child.","In the movie, the hero saved the child.",audio/e2_fill_14_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
48,fill_14_mismatch,filler_mismatch,"In the movie, the hero saved the microwave.","In the movie, the hero saved the microwave.",audio/e2_fill_14_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
49,fill_15_match,filler_match,"Before work, he locked the front door.","Before work, he locked the front door.",audio/e2_fill_15_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
50,fill_15_mismatch,filler_mismatch,"Before work, he locked the front galaxy.","Before work, he locked the front galaxy.",audio/e2_fill_15_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
51,fill_16_match,filler_match,"At the clinic, they cleaned the wound carefully.","At the clinic, they cleaned the wound carefully.",audio/e2_fill_16_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
52,fill_16_mismatch,filler_mismatch,"At the clinic, they cleaned the thunder carefully.","At the clinic, they cleaned the thunder carefully.",audio/e2_fill_16_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
53,fill_17_match,filler_match,"On Sunday, we visited the city museum.","On Sunday, we visited the city museum.",audio/e2_fill_17_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
54,fill_17_mismatch,filler_mismatch,"On Sunday, we visited the city stapler.","On Sunday, we visited the city stapler.",audio/e2_fill_17_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
55,fill_18_match,filler_match,"In traffic, drivers waited at the red light.","In traffic, drivers waited at the red light.",audio/e2_fill_18_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
56,fill_18_mismatch,filler_mismatch,"In traffic, drivers waited at the red guitar.","In traffic, drivers waited at the red guitar.",audio/e2_fill_18_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
57,fill_19_match,filler_match,"At school, children read a short story.","At school, children read a short story.",audio/e2_fill_19_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
58,fill_19_mismatch,filler_mismatch,"At school, children read a short sandwich.","At school, children read a short sandwich.",audio/e2_fill_19_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
59,fill_20_match,filler_match,"After practice, the team packed the equipment.","After practice, the team packed the equipment.",audio/e2_fill_20_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
60,fill_20_mismatch,filler_mismatch,"After practice, the team packed the moonlight.","After practice, the team packed the moonlight.",audio/e2_fill_20_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
